"title","comment","trip","writer","written","rating"
"Wonderful museum!","Went to the British Museum on our last day in London. The displays are excellent and educational. There is so much to see more than one visit is necessary.","June 2019","Dan B","Jul 2019",5
"The British Museum.","An excellent place to visit! Extremely interesting and easy to get to on the London Underground System.","March 2019","dazcritchley","Jul 2019",5
"Arrive early","Unfortunate there has to be so much security to go through  Kids will get bored but well worth the visit","July 2019","tipper2011","Jul 2019",4
"Japanese gallery visit ","As always it’s busy, but if you take a little detour to the less busy galleries it’s always a treat... Japanese galleries have been re arranged and show some fantastic pieces, samurai armor, netsuke and pottery... all exceptional and worth the visit... ","June 2019","Marty3118","Jul 2019",5
"It's a must!","Half the World is here!The museum is huge with too many and too many kinds of exhibits. I suggest fellow visitors to pick two or three sections that they are intetested in and send some time there.","July 2019","FridaSz","Jul 2019",5
"Excellent Experience","British Museum is alway an exciting place with lots of history. This time I went to visit the Manga exhibition with my family. It was really well managed and well set up. There were also few exciting activities to engage the audience into the experience of Manga. We took our…","July 2019","maryxgoxround","Jul 2019",5
"Day out.","Well worth a visit not only is it free but it's also a good day out. Food hall was lovely a little on the expensive side but ok.","November 2018","mf2111","Jul 2019",5
"Loved this museum","There is so much to see here.  My teenage boys all loved it.  Its free so you can go for just short time and still see a lot. ","August 2018","megancuroe","Jul 2019",5
"Free, you don't need a ticket but there are lines for security sometimes","Beware, it seems you may wait in line for long time to go thru security. At 10.30 sunday morning it was fast, but we noticed many movable fences set to drive people along, queuing ...therefore long lines are expected...  Free entrance, exhibitions tickets are instead very very…","June 2019","ReviewsItaly","Jul 2019",4
"Plan your visit","Too much to see in one day. Therefore check out their website and find the bits that will interest you. One of the best free museums in the world.","July 2019","cousin0avi","Jul 2019",5
"Almost too much awesome!","We actually went back on our ""free"" day because there was so much left to see!  The Parthenon ""marbles"" are so amazing.  Rosetta stone...  Wow.  Assyrian wall carvings, astounding.","June 2019","JGG","Jul 2019",5
"Wonderful Museum","Wonderful museum, free to enter.  Very popular and busy with people of all ages.  Plenty to see.  Food and drinks available.","June 2019","FrequentFlier578881","Jul 2019",5
"Always great","I love this place and I love that the exhibitions change. It is always a good place to spend a lot of time or just a little time. Always enjoy the Egyptian room. Yes there are crowds but you can escape them. ","July 2019","nhr72","Jul 2019",5
"Great museum","Great displays. We particularly enjoyed a special exhibition of Rembrandt's sketches: Thinking on Paper. And one on Islamic art through geographies and centuries. The iconic reading room however remains closed - which is a disappointment...","June 2019","A S","Jul 2019",5
"excellent","We need to come back, as this museum is amazing, we did not have enought time, we need to spend all day in this fantatic museum.","June 2019","paulo d","Jul 2019",5
"Great museum!","My friend and I spent a couple of hours, wandering through the British Museum. I've been there several times before but there's always new exhibits. I especially enjoy the shopping as they have unique gifts which always please my grandson!","May 2019","ArleneB435","Jul 2019",5
"Rosetta stone","I took the introductory tour. Our guide was wonderful and the British Museum needs no further certification from me. It is awesome indeed. And I got to see an authentic replica of the Rosetta stone - something that I have dreamed of doing since school. This tri-lingual stone…","June 2019","Anindya","Jul 2019",5
"Do not miss the genius","Visited the exhibition on Leonardo da Vinci. Interesting to see his handwriting and designs Geniuses also those  who have ""deciphered"" his writing.","June 2019","Antonia R","Jul 2019",5
"great","There is always something new to see when you visit this museum and as its free everyone can benfit from the experience of visiting the collections","September 2018","Travel_Turtle3","Jul 2019",5
"A must see","I hadn't been for years and had forgotten how truly amazing and awe inspiring this place is. You can easily pass an entire day here wondering from room to room. Should be at the top of your list if you're visiting London.","May 2019","Rory T","Jul 2019",5
"Fine collection of ""stolen"" relics","This museum is free to the public and is stocked full of artifacts from all over the globe, especially the territories conquered by the British Empire.  These stem from all corners of the globe, so there is literally something for everyone in this museum and you could spend days…","June 2019","Brett V","Jul 2019",4
